,Country,Year,Wins,Losses,Draws,Points_Scored,Points_Against,Ttl_Games,ATT,MID,DEF,Placement
466,Egypt,2016,5,3,2,13,5,10,69,69,67,
467,Bulgaria,2016,5,3,0,11,21,8,69,70,68,
468,Bolivia,2016,6,2,1,7,20,9,61,65,65,
469,Peru,2016,3,5,3,15,11,11,69,66,67,
470,Ireland,2016,5,4,4,19,14,13,75,74,75,
471,Greece,2016,3,6,1,17,10,10,76,72,76,
472,Colombia,2016,5,5,3,18,15,13,75,77,75,
473,Ecuador,2016,6,1,4,18,16,11,74,72,69,
474,India,2016,4,3,0,17,9,7,61,56,57,
475,South Africa,2016,4,1,7,22,11,12,67,71,72,
476,Venezuela,2016,4,4,3,10,22,11,72,72,70,
477,Cameroon,2016,4,3,7,16,13,14,69,69,77,
478,Slovenia,2016,3,2,4,6,5,9,70,73,72,
479,Czech Republic,2016,6,3,5,18,15,14,73,75,73,
480,China PR,2016,0,0,0,0,0,0,70,67,66,
481,Scotland,2017,3,2,3,12,6,8,74,75,71,
482,England,2017,5,2,3,14,7,10,82,81,81,
483,Wales,2017,2,3,3,6,5,8,76,75,76,
484,Northern Ireland,2017,4,4,1,10,5,9,69,72,72,
485,Uruguay,2017,5,1,3,9,13,9,85,76,80,
486,Austria,2017,4,1,3,11,7,8,78,77,77,
487,Hungary,2017,7,2,0,8,16,9,72,73,70,
488,Argentina,2017,3,4,3,15,8,10,87,83,80,
489,Belgium,2017,4,3,3,31,12,10,85,83,84,
490,France,2017,6,3,2,23,10,11,82,83,81,
491,Netherlands,2017,6,5,0,25,11,11,81,81,80,
492,Switzerland,2017,5,3,1,16,4,9,74,78,78,
493,Sweden,2017,7,2,2,26,11,11,77,76,76,
494,Germany,2017,6,5,4,43,12,15,82,86,84,
495,Italy,2017,7,2,2,23,6,11,82,81,85,
496,Chile,2017,7,4,5,17,18,16,79,80,77,
497,Norway,2017,6,1,2,13,13,9,72,74,71,
498,Finland,2017,3,3,4,12,9,10,71,70,70,
499,Russia,2017,3,4,4,18,16,11,77,75,75,
500,Denmark,2017,1,4,4,19,5,9,76,79,76,
501,Brazil,2017,5,2,3,17,3,10,87,82,85,
502,Paraguay,2017,4,4,0,7,15,8,74,75,72,
503,Canada,2017,4,2,3,15,10,9,68,69,65,
504,Spain,2017,4,4,2,33,7,10,84,85,85,
505,Poland,2017,4,3,1,18,10,8,82,77,77,
506,Romania,2017,6,1,2,11,11,9,74,71,72,
507,Portugal,2017,6,6,3,35,8,15,85,82,81,
508,Australia,2017,6,2,5,18,18,13,71,71,72,
509,Turkey,2017,5,3,2,14,14,10,78,79,78,
510,Mexico,2017,14,5,5,39,25,24,79,78,74,
511,Egypt,2017,10,1,3,15,6,14,76,71,69,
512,Bulgaria,2017,5,1,1,9,9,7,69,70,69,
513,Bolivia,2017,6,1,1,10,9,8,71,67,66,
514,Peru,2017,4,1,4,12,5,9,72,70,68,
515,Ireland,2017,3,4,4,10,13,11,76,76,76,
516,Greece,2017,2,2,4,9,8,8,77,74,78,
517,Colombia,2017,3,4,4,17,9,11,79,79,76,
518,Ecuador,2017,4,4,1,12,14,9,74,76,71,
519,India,2017,4,3,2,18,7,9,63,59,58,
520,South Africa,2017,5,6,1,15,13,12,70,72,72,
521,Venezuela,2017,2,1,6,7,9,9,76,71,71,
522,Cameroon,2017,7,5,7,20,23,19,71,73,71,
523,Slovenia,2017,5,0,1,8,5,6,73,76,70,
524,Czech Republic,2017,4,5,1,22,9,10,73,75,74,
525,China PR,2017,1,0,2,4,5,3,66,64,60,
526,Scotland,2018,0,0,0,0,0,0,75,75,74,
527,England,2018,0,0,0,0,0,0,83,81,81,
528,Wales,2018,0,0,0,0,0,0,82,72,76,
529,Northern Ireland,2018,0,0,0,0,0,0,71,71,71,
530,Uruguay,2018,0,0,0,0,0,0,86,76,79,
531,Austria,2018,0,0,0,0,0,0,80,77,75,
532,Hungary,2018,0,0,0,0,0,0,71,72,71,
533,Argentina,2018,0,0,0,0,0,0,87,81,80,
534,Belgium,2018,0,0,0,0,0,0,86,84,85,
535,France,2018,0,0,0,0,0,0,83,86,81,
536,Netherlands,2018,0,0,0,0,0,0,80,80,80,
537,Switzerland,2018,0,0,0,0,0,0,75,77,78,
538,Sweden,2018,0,0,1,1,1,1,77,76,76,
539,Germany,2018,0,0,0,0,0,0,81,85,84,
540,Italy,2018,0,0,0,0,0,0,85,81,85,
541,Chile,2018,0,0,0,0,0,0,77,80,75,
542,Norway,2018,0,0,0,0,0,0,74,73,73,
543,Finland,2018,0,1,0,2,1,1,71,68,68,
544,Russia,2018,0,0,0,0,0,0,80,78,76,
545,Denmark,2018,0,0,0,0,0,0,75,78,76,
546,Brazil,2018,0,0,0,0,0,0,86,83,85,
547,Paraguay,2018,0,0,0,0,0,0,75,74,72,
548,Canada,2018,0,0,0,0,0,0,74,70,66,
549,Spain,2018,0,0,0,0,0,0,84,86,86,
550,Poland,2018,0,0,0,0,0,0,82,75,79,
551,New Zealand,2018,0,0,0,0,0,0,69,66,67,
552,Romania,2018,0,0,0,0,0,0,72,72,70,
553,Portugal,2018,0,0,0,0,0,0,85,82,80,
554,Australia,2018,0,0,0,0,0,0,69,73,72,
555,Turkey,2018,0,0,0,0,0,0,80,77,75,
556,Mexico,2018,0,0,0,0,0,0,79,79,76,
557,Egypt,2018,0,0,0,0,0,0,80,72,70,
558,Bulgaria,2018,0,0,0,0,0,0,70,70,69,
559,Bolivia,2018,0,0,0,0,0,0,69,67,66,
560,Peru,2018,0,0,0,0,0,0,73,72,71,
561,Ireland,2018,0,0,0,0,0,0,75,74,75,
562,Greece,2018,0,0,0,0,0,0,78,74,77,
563,Colombia,2018,0,0,0,0,0,0,81,77,78,
564,Ecuador,2018,0,0,0,0,0,0,68,71,72,
565,India,2018,0,0,0,0,0,0,63,58,58,
566,Iceland,2018,0,2,0,10,1,2,73,75,70,
567,South Africa,2018,0,0,0,0,0,0,73,71,70,
568,Venezuela,2018,0,0,0,0,0,0,76,72,70,
569,Cameroon,2018,0,0,0,0,0,0,75,73,69,
570,Saudi Arabia,2018,0,0,0,0,0,0,73,73,72,
571,Slovenia,2018,0,0,0,0,0,0,73,75,74,
572,Czech Republic,2018,0,0,0,0,0,0,75,74,73,
573,China PR,2018,0,0,0,0,0,0,70,70,70,
